CustomerID,FirstName,LastName,Email,SignupDate,TotalSpent
0,Carol,Jones,user0@example.com,2022-01-01,966.41
1,David,Brown,user1@example.com,2022-01-02,2732.41
2,Alice,Smith,user2@example.com,2022-01-03,4371.08
3,Carol,Smith,user3@example.com,2022-01-04,3674.51
4,Carol,Smith,user4@example.com,2022-01-05,4042.48
5,David,Smith,user5@example.com,2022-01-06,3310.98
6,Alice,Taylor,user6@example.com,2022-01-07,3476.77
7,Alice,Smith,user7@example.com,2022-01-08,4253.52
8,Carol,Taylor,user8@example.com,2022-01-09,1285.86
9,Bob,Taylor,user9@example.com,2022-01-10,2472.65
10,Carol,Smith,user10@example.com,2022-01-11,1144.99
11,Carol,Smith,user11@example.com,2022-01-12,4938.96
12,Carol,Jones,user12@example.com,2022-01-13,4723.09
13,Carol,Brown,user13@example.com,2022-01-14,245.16
14,David,Smith,user14@example.com,2022-01-15,3542.6
15,Alice,Jones,user15@example.com,2022-01-16,4629.98
16,David,Jones,user16@example.com,2022-01-17,943.85
17,David,Brown,user17@example.com,2022-01-18,2861.33
18,David,Taylor,user18@example.com,2022-01-19,4581.67
19,Carol,Smith,user19@example.com,2022-01-20,218.03
20,Bob,Brown,user20@example.com,2022-01-21,3502.23
21,Alice,Smith,user21@example.com,2022-01-22,1521.88
22,Bob,Jones,user22@example.com,2022-01-23,4625.76
23,David,Jones,user23@example.com,2022-01-24,4856.74
24,David,Taylor,user24@example.com,2022-01-25,4724.12
25,Bob,Jones,user25@example.com,2022-01-26,2397.36
26,Bob,Jones,user26@example.com,2022-01-27,4317.11
27,Bob,Brown,user27@example.com,2022-01-28,4230.52
28,David,Smith,user28@example.com,2022-01-29,1629.55
29,David,Smith,user29@example.com,2022-01-30,4153.13
30,Alice,Brown,user30@example.com,2022-01-31,233.19
31,Alice,Taylor,user31@example.com,2022-02-01,3001.54
32,David,Smith,user32@example.com,2022-02-02,1188.54
33,Bob,Jones,user33@example.com,2022-02-03,646.81
34,Bob,Smith,user34@example.com,2022-02-04,430.92
35,Alice,Jones,user35@example.com,2022-02-05,3496.63
36,David,Taylor,user36@example.com,2022-02-06,1732.38
37,Alice,Brown,user37@example.com,2022-02-07,3637.6
38,Alice,Smith,user38@example.com,2022-02-08,373.51
39,Carol,Brown,user39@example.com,2022-02-09,1610.69
40,Carol,Smith,user40@example.com,2022-02-10,2720.48
41,Carol,Jones,user41@example.com,2022-02-11,3964.08
42,Bob,Brown,user42@example.com,2022-02-12,1627.82
43,David,Smith,user43@example.com,2022-02-13,3148.16
44,David,Jones,user44@example.com,2022-02-14,4435.59
45,David,Brown,user45@example.com,2022-02-15,3098.52
46,David,Brown,user46@example.com,2022-02-16,1203.15
47,Carol,Smith,user47@example.com,2022-02-17,170.78
48,Bob,Smith,user48@example.com,2022-02-18,4356.99
49,Bob,Smith,user49@example.com,2022-02-19,155.28
50,Carol,Jones,user50@example.com,2022-02-20,4379.77
51,Bob,Smith,user51@example.com,2022-02-21,2668.24
52,Carol,Brown,user52@example.com,2022-02-22,4698.39
53,David,Brown,user53@example.com,2022-02-23,4003.98
54,Carol,Smith,user54@example.com,2022-02-24,4989.77
55,David,Smith,user55@example.com,2022-02-25,1786.02
56,David,Taylor,user56@example.com,2022-02-26,3847.58
57,Alice,Brown,user57@example.com,2022-02-27,2039.56
58,Carol,Jones,user58@example.com,2022-02-28,2425.38
59,Alice,Taylor,user59@example.com,2022-03-01,3156.15
60,Carol,Smith,user60@example.com,2022-03-02,4374.7
61,Carol,Smith,user61@example.com,2022-03-03,4921.21
62,Alice,Brown,user62@example.com,2022-03-04,3852.95
63,Alice,Smith,user63@example.com,2022-03-05,2117.95
64,Carol,Jones,user64@example.com,2022-03-06,2135.72
